SKU,recent_avg_sales,previous_avg_sales,sales_trend,product_status
AN208-MUSTARD-XL,0.03333333333333333,0.0,0.03333333333333333,Stable
AN209-BIEGE-XL,0.06666666666666667,0.03333333333333333,0.03225806451612903,Stable
AN213-BROWN-S,0.16666666666666666,0.03333333333333333,0.12903225806451613,Trending
BL006-54BLACK,0.06666666666666667,0.1,-0.030303030303030307,Stable
BL021-71BLACK,0.23333333333333334,0.7,-0.2745098039215686,Fatiguing
BL035-161GOLD,0.1,0.36666666666666664,-0.19512195121951215,Fatiguing
BL036-176GOLD,0.1,0.1,0.0,Stable
BL057-65BLACK-A,0.1,0.13333333333333333,-0.029411764705882346,Stable
BL079-87RED,0.03333333333333333,0.0,0.03333333333333333,Stable
BL087-XXL,0.03333333333333333,0.0,0.03333333333333333,Stable
BL103-XXL,0.1,0.2,-0.08333333333333334,Stable
BL104-L,0.03333333333333333,0.13333333333333333,-0.08823529411764706,Stable
BL109-M,0.13333333333333333,0.06666666666666667,0.0625,Stable
BL109-XXL,0.06666666666666667,0.0,0.06666666666666667,Stable
BL110-L,0.06666666666666667,0.13333333333333333,-0.058823529411764705,Stable
BL110-S,0.03333333333333333,0.06666666666666667,-0.03125,Stable
BL111-L,0.03333333333333333,0.03333333333333333,0.0,Stable
BL111-M,0.06666666666666667,0.0,0.06666666666666667,Stable
BL113-L,0.03333333333333333,0.06666666666666667,-0.03125,Stable
BL113-XL,0.1,0.06666666666666667,0.03125000000000001,Stable
BL113-XS,0.03333333333333333,0.1,-0.060606060606060615,Stable
BTM029-NP-L,0.03333333333333333,0.0,0.03333333333333333,Stable
BTM029-NP-M,0.03333333333333333,0.0,0.03333333333333333,Stable
BTM030-NP-XXXL,0.1,0.03333333333333333,0.06451612903225808,Stable
BTM031-NP-XL,0.06666666666666667,0.03333333333333333,0.03225806451612903,Stable
BTM032-NP-S,0.13333333333333333,0.0,0.13333333333333333,Trending
BTM033-NP-XXXL,0.06666666666666667,0.0,0.06666666666666667,Stable
BTM036-PP-XXL,0.06666666666666667,0.06666666666666667,0.0,Stable
BTM037-PP-XL,0.06666666666666667,0.0,0.06666666666666667,Stable
BTM038-PP-XXXL,0.06666666666666667,0.1,-0.030303030303030307,Stable
BTM039-PP-M,0.03333333333333333,0.13333333333333333,-0.08823529411764706,Stable
BTM040-PP-XXL,0.03333333333333333,0.06666666666666667,-0.03125,Stable
BTM041-PP-XXXL,0.06666666666666667,0.03333333333333333,0.03225806451612903,Stable
BTM047-PP-L,0.03333333333333333,0.0,0.03333333333333333,Stable
BTM047-PP-XXL,0.03333333333333333,0.06666666666666667,-0.03125,Stable
BTM048-PP-M,0.03333333333333333,0.0,0.03333333333333333,Stable
CH202-ORANGE-L,0.03333333333333333,0.0,0.03333333333333333,Stable
CH205-YELLOW-S,0.03333333333333333,0.0,0.03333333333333333,Stable
CH213-BROWN-L,0.03333333333333333,0.0,0.03333333333333333,Stable
J0001-DR-S,0.16666666666666666,0.03333333333333333,0.12903225806451613,Trending
J0001-DR-XS,0.06666666666666667,0.03333333333333333,0.03225806451612903,Stable
J0002-SKD-L,0.6333333333333333,0.4,0.16666666666666663,Trending
J0002-SKD-M,0.6,0.5333333333333333,0.04347826086956521,Stable
